tid,seq_ratio,avg_stride
13106,0.804,15.3
13116,0.973,5.6
13106,0.800,20.5
13116,0.988,5.9
13106,0.814,14.0
13106,0.813,22.1
13106,0.808,20.4
13106,0.804,20.7
13106,0.806,12.6
13106,0.809,18.5
13106,0.781,12.6
13106,0.818,10.8
13106,0.864,11.8
13106,0.841,19.8
13106,0.779,19.1
13106,0.800,23.9
13106,0.872,15.3
13106,0.814,15.8
13106,0.839,26.5
13106,0.820,20.0
13106,0.798,13.1
13106,0.808,21.1
13106,0.803,14.6
13106,0.799,14.2
13106,0.784,26.2
13106,0.820,18.3
13106,0.799,20.8
13106,0.828,13.6
13106,0.797,19.4
13106,0.804,20.8
13106,0.798,13.2
13106,0.802,14.9
13106,0.803,22.2
13106,0.791,19.1
13106,0.793,21.7
13106,0.785,18.9
13106,0.796,13.2
13106,0.801,15.5
13106,0.812,13.2
13106,0.789,21.1
13106,0.801,16.0
13106,0.801,21.5
13106,0.806,22.6
13106,0.792,17.3
13106,0.805,16.8
13106,0.792,15.6
13106,0.802,24.4
13106,0.787,15.0
13106,0.813,16.1
13106,0.783,31.2
13106,0.802,20.3
13106,0.814,19.2
13106,0.812,16.5
13106,0.804,18.8
13106,0.808,18.0
13106,0.798,19.7
13106,0.804,23.6
13106,0.779,22.9
13106,0.791,17.2
13106,0.808,19.6
13106,0.799,24.3
13106,0.795,20.0
13106,0.802,17.9
13106,0.785,22.4
13106,0.812,17.5
13106,0.807,14.9
13106,0.799,17.3
13106,0.796,13.3
13106,0.796,16.8
13106,0.806,18.7
13106,0.787,17.2
13106,0.804,18.3
13106,0.797,20.9
13106,0.812,15.4
13106,0.789,17.8
13106,0.816,17.9
13106,0.807,16.4
13106,0.800,20.5
13106,0.808,22.1
13106,0.812,13.4
13106,0.804,15.8
13106,0.795,15.0
13106,0.814,18.1
13106,0.789,13.7
13106,0.800,19.1
13106,0.809,16.1
13106,0.799,22.2
13106,0.787,21.1
13106,0.797,21.9
13106,0.816,14.6
13106,0.813,18.1
13106,0.792,17.3
13106,0.809,18.2
13106,0.808,13.7
13106,0.806,24.3
13106,0.795,13.4
13106,0.814,21.4
13106,0.805,17.7
13106,0.794,18.0
13106,0.815,21.2
13106,0.807,15.8
13106,0.809,23.2
13106,0.785,14.6
13106,0.784,15.1
13106,0.800,19.5
13106,0.786,22.4
13106,0.798,24.5
13106,0.797,21.1
13106,0.815,14.9
13106,0.794,21.1
13106,0.792,22.1
13106,0.800,16.9
13106,0.785,18.3
13106,0.810,13.7
13106,0.798,14.4
13106,0.804,14.5
13106,0.815,15.7
13106,0.810,17.7
13106,0.799,16.3
13106,0.811,13.9
13106,0.798,20.2
13106,0.804,17.6
13106,0.808,15.9
13106,0.797,14.4
13106,0.800,19.3
13106,0.800,18.6
13106,0.807,19.3
13106,0.798,18.4
13106,0.801,19.2
13106,0.782,20.3
13106,0.799,12.0
13106,0.801,15.4
13106,0.809,12.0
13106,0.797,12.9
13106,0.795,20.3
13106,0.801,19.7
13106,0.796,20.2
13106,0.788,12.7
13106,0.800,19.3
13106,0.804,16.9
13106,0.798,15.5
13106,0.811,18.4
13106,0.794,21.6
13106,0.810,23.0
13106,0.806,18.8
13106,0.810,25.3
13106,0.811,17.4
13106,0.802,14.5
13106,0.795,17.2
13106,0.812,15.7
13106,0.790,19.0
13106,0.815,18.3
13106,0.785,12.2
13106,0.797,21.1
13106,0.793,14.2
13106,0.802,14.8
13106,0.806,21.1
13116,0.971,8394.5
13106,0.801,15.8
13106,0.806,14.1
13116,0.968,6.9
13106,0.803,18.8
13116,0.988,5.4
13106,0.790,18.1
13116,0.988,5.4
13106,0.806,13.9
13106,0.803,18.5
13106,0.818,12.0
13106,0.808,16.5
13106,0.794,22.7
13106,0.819,10.5
13106,0.805,17.1
13106,0.812,13.1
13106,0.799,14.3
13106,0.842,12.4
13106,0.797,18.5
13106,0.813,25.0
13106,0.811,19.7
13106,0.859,15.9
13106,0.845,16.1
13106,0.821,19.6
13106,0.834,14.8
13106,0.794,19.8
13106,0.793,27.1
13106,0.797,15.7
13106,0.799,16.0
13106,0.803,23.2
13106,0.800,20.0
13106,0.812,14.7
13106,0.816,12.4
13106,0.809,17.6
13106,0.807,18.6
13106,0.799,19.3
13106,0.787,22.0
13106,0.799,21.1
13106,0.788,14.6
13106,0.784,19.5
13106,0.795,19.8
13106,0.801,11.0
13106,0.801,14.1
13106,0.772,19.2
13106,0.789,16.5
13106,0.791,16.3
13106,0.812,14.2
13106,0.784,16.3
13106,0.789,23.7
13106,0.812,18.0
13106,0.800,16.5
13106,0.790,19.6
13106,0.798,15.3
13106,0.798,17.6
13106,0.800,20.0
13106,0.805,16.8
13106,0.796,12.4
13106,0.780,18.0
13106,0.818,13.8
13106,0.793,16.0
13106,0.803,15.4
13106,0.792,19.3
13106,0.811,13.0
13106,0.799,18.7
13106,0.808,18.9
13106,0.810,13.9
13106,0.796,21.7
13106,0.796,18.2
13106,0.810,14.4
13106,0.797,22.1
13106,0.808,19.0
13106,0.791,16.2
13106,0.803,28.4
13106,0.785,19.8
13106,0.815,19.7
13106,0.811,12.8
13106,0.809,20.4
13106,0.808,17.7
13106,0.812,20.1
13106,0.798,18.5
13106,0.804,17.4
