tid,seq_ratio,avg_stride
10841,0.984,4.6
10841,0.981,20.2
10831,0.710,17.3
10841,0.991,5.8
10831,0.745,21.7
10841,0.983,7.0
10841,0.981,62.1
10831,0.757,17.0
10841,0.986,5.0
10841,0.984,7.4
10831,0.703,26.0
10841,0.979,24.1
10831,0.715,19.7
10841,0.990,4.7
10831,0.714,24.1
10841,0.972,26.2
10841,0.996,8.8
10841,0.995,8.8
10841,0.967,28925.1
10831,0.731,18.4
10841,0.989,5.1
10831,0.721,18.4
10841,0.984,4.7
10841,0.986,6.2
10831,0.710,19.9
10841,0.992,4.9
10831,0.775,20.0
10841,0.979,10512.8
10841,0.993,8.7
10841,0.982,23145.4
10831,0.728,20.3
10841,0.986,57.4
10841,0.990,5.7
10831,0.722,17.9
10841,0.981,38.1
10831,0.716,14.1
10841,0.984,4.5
10831,0.779,18.1
10841,0.986,7.0
10841,0.995,8.4
10841,0.994,8.5
10841,0.984,57.4
10831,0.716,13.0
10841,0.991,5.1
10831,0.719,18.3
10841,0.985,22.2
10841,0.982,6.7
10831,0.702,18.3
10841,0.991,4.3
10841,0.980,4220.4
10841,0.995,8.3
10831,0.716,18.5
10841,0.978,33038.0
10841,0.986,35.5
10831,0.712,19.8
10841,0.983,6.7
10831,0.718,26.7
10841,0.980,6.5
10841,0.988,4.6
10831,0.719,19.1
10841,0.991,4.8
10841,0.989,9.9
10841,0.995,8.3
10831,0.708,17.5
10841,0.981,53487.4
10841,0.984,22.4
10831,0.715,19.3
10841,0.990,4.5
10841,0.988,6.3
10831,0.717,24.4
10841,0.990,4.4
10831,0.719,13.1
10841,0.985,6.4
10841,0.995,8.2
10841,0.996,8.2
10841,0.981,13687.7
10831,0.707,15.6
10841,0.988,5.7
10841,0.982,4.4
10831,0.719,14.4
10841,0.989,14685.1
10831,0.712,21.1
10841,0.990,4.4
10841,0.988,9.6
10841,0.995,8.1
10841,0.986,8.7
10831,0.718,14.3
10841,0.991,22.1
10841,0.983,5.5
10831,0.698,16.2
10841,0.990,39.1
10831,0.712,19.9
10841,0.991,4.4
10841,0.982,40.3
10841,0.996,8.3
10841,0.995,7.8
10831,0.706,22.1
10841,0.981,25209.5
10841,0.993,4.4
10831,0.716,27.1
10841,0.990,19.7
10831,0.718,21.9
10841,0.992,4.5
10831,0.702,16.3
10841,0.990,6.6
10841,0.980,25.2
10841,0.996,8.0
10841,0.996,7.8
10831,0.716,13.9
10841,0.970,75516.5
10841,0.991,4.6
10831,0.730,13.6
10841,0.985,5.2
10831,0.718,16.6
10841,0.977,22.1
10841,0.990,6.8
10831,0.710,17.5
10841,0.992,8.2
10841,0.996,7.8
10841,0.988,11523.7
10831,0.776,19.7
10841,0.990,6.7
10831,0.717,14.0
10841,0.993,4.5
10841,0.986,21.3
10831,0.720,20.8
10841,0.989,4.6
10831,0.735,15.0
10841,0.978,53.8
10841,0.996,8.3
10841,0.995,8.6
10831,0.766,23.4
10841,0.977,88.3
10841,0.989,6.4
10831,0.708,16.6
10841,0.989,4.5
10841,0.983,8.1
10841,0.996,8.2
10841,0.996,7.7
10831,0.703,18.9
10841,0.977,31512.6
10831,0.714,16.1
10841,0.964,24.9
10831,0.729,18.2
10841,0.990,5.2
10831,0.710,12.6
10841,0.977,8.3
10841,0.995,7.9
10841,0.996,8.4
10831,0.731,16.7
10831,0.708,19.7
10831,0.732,18.6
10841,0.934,27325.2
10831,0.709,15.1
10841,0.991,22.1
10831,0.741,21.8
10841,0.984,20.6
10831,0.701,19.8
10841,0.988,4.7
10831,0.745,24.6
10841,0.986,21.1
10841,0.991,10.5
