tid,seq_ratio,avg_stride
13701,0.982,7.9
13701,0.990,8.1
13701,0.990,8.1
13691,0.720,20.6
13701,0.988,7.8
13691,0.707,24.0
13691,0.731,24.9
13701,0.982,8.5
13691,0.726,20.5
13701,0.971,9.6
13691,0.721,21.2
13701,0.986,8.4
13691,0.711,18.8
13691,0.721,19.3
13701,0.984,9.5
13701,0.993,7.5
13701,0.994,8.1
13691,0.715,21.1
13691,0.739,20.8
13701,0.975,8.9
13691,0.714,23.6
13701,0.976,11.7
13691,0.733,20.3
13691,0.716,24.6
13701,0.979,11.3
13691,0.745,16.4
13691,0.725,17.8
13701,0.984,10.0
13701,0.992,7.4
13701,0.992,8.1
13691,0.722,30.5
